stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_2_e_None,mt_2_e_0.01,mt_2_e_0.1,mt_2_e_1,mt_2_e_10,mt_2_e_100,mt_4_e_None,mt_4_e_0.01,mt_4_e_0.1,mt_4_e_1,mt_4_e_10,mt_4_e_100,mt_5_e_None,mt_5_e_0.01,mt_5_e_0.1,mt_5_e_1,mt_5_e_10,mt_5_e_100,mt_20_e_None,mt_20_e_0.01,mt_20_e_0.1,mt_20_e_1,mt_20_e_10,mt_20_e_100
jump_length_outliers,0.0,0.031,0.002,0.0,0.0,0.0,0.612,0.608,0.612,0.613,0.613,0.612,0.238,0.242,0.24,0.238,0.238,0.237,0.044,0.077,0.04,0.045,0.044,0.044,0.021,0.156,0.027,0.021,0.021,0.021,0.0,0.488,0.04,0.008,0.0,0.0
jump_length_quartiles,0.0,0.023,0.003,0.0,0.0,0.0,0.053,0.158,0.059,0.053,0.053,0.053,0.061,0.09,0.062,0.061,0.061,0.06,0.021,0.164,0.028,0.022,0.021,0.021,0.013,0.19,0.021,0.014,0.013,0.013,0.0,0.571,0.061,0.005,0.0,0.0
traj_per_user_quartiles,0.0,0.188,0.084,0.06,0.005,0.0,0.869,0.869,0.869,0.869,0.869,0.869,0.461,0.487,0.461,0.461,0.461,0.461,0.267,0.293,0.267,0.267,0.267,0.267,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.175,0.107,0.053,0.008,0.0
traj_per_user_outliers,0.0,27.8,5.8,0.6,0.0,0.0,0.0,16.0,4.1,0.2,0.0,0.0,0.0,28.7,2.5,0.2,0.0,0.0,0.0,37.8,5.1,0.1,0.0,0.0,0.0,32.1,8.7,0.5,0.0,0.0,0.0,86.2,2.8,0.3,0.0,0.0
user_time_delta_quartiles,0.0,0.102,0.049,0.022,0.006,0.0,,,,,,,0.408,0.599,0.46,0.427,0.416,0.408,0.118,0.273,0.181,0.163,0.131,0.122,0.067,0.32,0.149,0.099,0.091,0.07,0.0,0.767,0.122,0.061,0.03,0.014
user_time_delta_outliers,0.0,0.104,0.012,0.001,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.545,0.578,0.543,0.55,0.546,0.543,0.267,0.377,0.294,0.268,0.275,0.266,0.199,0.391,0.213,0.199,0.201,0.2,0.0,2.151,0.428,0.02,0.003,0.0
radius_gyration_emd,0.0,189.253,13.59,2.725,0.085,0.0,345.008,386.866,347.537,343.649,344.726,343.507,115.155,230.231,130.191,115.252,116.763,113.293,11.326,125.799,25.164,13.1,11.595,11.574,3.957,160.999,17.401,5.388,4.246,4.118,0.0,160.74,17.085,2.21,0.22,0.0
radius_gyration_quartiles,0.0,0.054,0.006,0.0,0.0,0.0,0.199,0.187,0.198,0.198,0.199,0.199,0.066,0.082,0.068,0.066,0.067,0.066,0.006,0.039,0.008,0.007,0.006,0.006,0.002,0.046,0.005,0.002,0.002,0.002,0.0,0.058,0.005,0.0,0.0,0.0
radius_gyration_outliers,0.0,0.016,0.001,0.0,0.0,0.0,0.136,0.142,0.137,0.139,0.137,0.138,0.044,0.039,0.046,0.045,0.045,0.044,0.005,0.013,0.003,0.004,0.004,0.004,0.002,0.02,0.003,0.003,0.002,0.003,0.0,0.013,0.002,0.0,0.0,0.0
location_entropy_mre,0.0,1.653,0.905,0.142,0.046,0.044,0.057,1.659,0.904,0.163,0.079,0.076,0.026,1.775,1.198,0.277,0.063,0.054,0.007,1.857,1.433,0.49,0.07,0.046,0.005,1.876,1.49,0.586,0.082,0.045,0.0,1.962,1.81,1.28,0.339,0.056
user_tile_count_emd,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.905,0.492,0.455,0.491,0.491,0.492,0.492,0.421,0.2,0.397,0.427,0.417,0.419,0.404,0.15,0.337,0.409,0.412,0.404,0.0,0.19,0.175,0.107,0.0,0.0
user_tile_count_quartiles,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.335,0.234,0.252,0.234,0.234,0.234,0.234,0.047,0.147,0.094,0.065,0.039,0.045,0.016,0.127,0.074,0.056,0.029,0.016,0.0,0.104,0.069,0.02,0.0,0.0
uncorrelated_entropy_emd,0.0,0.003,0.0,0.0,0.0,0.0,0.041,0.042,0.041,0.041,0.041,0.041,0.011,0.011,0.011,0.011,0.011,0.011,0.003,0.004,0.003,0.003,0.003,0.003,0.001,0.003,0.002,0.001,0.001,0.001,0.0,0.003,0.0,0.0,0.0,0.0
uncorrelated_entropy_quartiles,0.0,0.001,0.0,0.0,0.0,0.0,0.017,0.017,0.017,0.017,0.017,0.017,0.006,0.007,0.006,0.006,0.006,0.006,0.001,0.004,0.0,0.001,0.001,0.001,0.001,0.004,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
