stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_3_e_None,mt_3_e_0.01,mt_3_e_0.1,mt_3_e_1,mt_3_e_10,mt_3_e_100,mt_8_e_None,mt_8_e_0.01,mt_8_e_0.1,mt_8_e_1,mt_8_e_10,mt_8_e_100,mt_28_e_None,mt_28_e_0.01,mt_28_e_0.1,mt_28_e_1,mt_28_e_10,mt_28_e_100,mt_90_e_None,mt_90_e_0.01,mt_90_e_0.1,mt_90_e_1,mt_90_e_10,mt_90_e_100,mt_215_e_None,mt_215_e_0.01,mt_215_e_0.1,mt_215_e_1,mt_215_e_10,mt_215_e_100,mt_2153_e_None,mt_2153_e_0.01,mt_2153_e_0.1,mt_2153_e_1,mt_2153_e_10,mt_2153_e_100
od_flows,0.0,1.999,1.997,1.987,1.079,0.0,1.976,1.999,1.998,1.996,1.986,1.974,1.931,2.0,1.999,1.997,1.994,1.931,1.832,2.0,1.999,1.997,1.995,1.876,1.573,2.0,2.0,1.998,1.996,1.983,1.13,2.0,2.0,1.999,1.997,1.991,0.729,2.0,2.0,1.999,1.998,1.994,0.0,2.0,2.0,2.0,1.999,1.998
rel_od_flows,0.0,2.0,2.0,1.999,1.157,0.0,1.975,2.0,2.0,2.0,1.984,1.975,1.931,2.0,2.0,2.0,1.998,1.934,1.857,2.0,2.0,2.0,1.999,1.872,1.669,2.0,2.0,2.0,2.0,1.995,1.299,2.0,2.0,2.0,2.0,1.999,0.92,2.0,2.0,2.0,2.0,1.999,0.0,2.0,2.0,2.0,2.0,2.0
od_flows_all_flows,0.0,0.998,0.953,0.606,0.007,0.0,0.006,0.997,0.953,0.609,0.012,0.006,0.006,1.001,0.986,0.849,0.193,0.006,0.005,1.003,0.996,0.942,0.538,0.007,0.005,1.003,1.001,0.984,0.838,0.172,0.003,1.003,1.002,0.997,0.948,0.576,0.002,1.003,1.002,1.0,0.978,0.793,0.0,1.003,1.003,1.002,1.0,0.979
rel_od_flows_all_flows,0.0,0.998,0.954,0.61,0.007,0.0,0.006,0.998,0.954,0.61,0.012,0.006,0.006,1.001,0.986,0.85,0.194,0.006,0.005,1.002,0.997,0.943,0.539,0.007,0.005,1.002,1.001,0.985,0.84,0.173,0.004,1.002,1.002,0.997,0.949,0.578,0.003,1.002,1.002,1.0,0.979,0.796,0.0,1.003,1.002,1.002,1.0,0.98
travel_time_emd,0.0,11.631,3.259,1.134,0.01,0.0,4.109,20.864,20.434,13.371,3.722,3.435,3.398,17.95,25.108,10.792,3.586,3.363,2.361,23.591,20.493,13.13,3.674,2.617,2.255,19.28,18.63,11.182,3.684,2.568,1.577,21.292,25.038,15.084,4.339,2.744,1.147,18.019,18.76,13.916,4.275,2.809,0.0,22.776,20.199,20.011,15.802,4.47
travel_time_outliers,0.0,0.073,0.011,0.001,0.0,0.0,0.987,0.875,0.977,0.987,0.988,0.987,0.964,0.861,0.973,0.962,0.964,0.965,0.912,0.969,0.913,0.915,0.912,0.912,0.765,0.723,0.502,0.751,0.768,0.766,0.504,2.362,0.913,0.584,0.497,0.504,0.283,19.549,1.848,0.396,0.271,0.281,0.0,49.234,30.119,1.499,0.114,0.018
travel_time_quartiles,0.0,0.669,0.15,0.002,0.0,0.0,0.196,0.931,1.013,0.665,0.195,0.146,0.066,0.992,0.889,0.714,0.241,0.106,0.063,0.846,0.976,0.676,0.325,0.056,0.063,0.931,0.887,0.677,0.198,0.058,0.049,0.955,1.012,0.709,0.455,0.049,0.04,0.914,1.009,0.784,0.428,0.119,0.0,0.871,0.951,0.884,0.836,0.193
jump_length_emd,0.0,1147.175,261.435,60.005,2.5,0.0,552.131,3897.343,3134.119,1571.368,568.369,582.707,477.246,3786.426,3447.233,1361.205,655.48,568.108,483.001,3443.284,3248.161,1459.298,532.064,542.873,475.646,3588.925,3610.2,1638.329,628.164,480.754,498.757,3317.177,3457.221,2130.336,752.657,549.775,447.35,3362.208,3284.067,2345.451,810.169,498.948,0.0,4086.821,3620.144,2808.504,2236.906,337.311
jump_length_outliers,0.0,0.781,0.083,0.008,0.0,0.0,0.992,0.659,0.961,0.99,0.992,0.991,0.976,1.425,0.932,0.973,0.974,0.974,0.938,2.651,0.83,0.892,0.936,0.935,0.822,14.87,0.748,0.708,0.827,0.822,0.602,13.817,5.449,0.912,0.584,0.602,0.358,87.094,4.926,1.275,0.371,0.35,0.0,382.066,72.591,8.205,1.191,0.152
jump_length_quartiles,0.0,0.67,0.447,0.365,0.12,0.0,0.604,1.128,1.305,0.778,0.584,0.604,0.559,1.276,1.185,0.794,0.616,0.586,0.508,1.097,1.214,0.757,0.569,0.566,0.415,1.087,1.305,0.729,0.557,0.487,0.243,1.192,1.325,0.887,0.572,0.454,0.102,1.294,1.131,1.052,0.597,0.513,0.0,1.099,1.2,1.191,0.939,0.498
